"","logFC","logCPM","LR","PValue","FDR"
"ENSG00000126709",5.54840035194745,6.52189704140818,478.700068360351,4.09832770284375e-106,4.44832488866661e-102
"ENSG00000187608",4.13907605750133,7.86124695316466,337.9226467268,1.80836129739512e-75,9.8139767609633e-72
"ENSG00000119917",10.5401523494466,9.68835898693644,228.895811337023,1.0378872705701e-51,3.75507614492263e-48
"ENSG00000119922",9.14437032102532,10.4924972973504,222.351192813293,2.77677432379675e-50,7.53477712762249e-47
"ENSG00000146677",-1.35559883638516,6.99196917938049,208.601119419152,2.77374572507719e-47,6.02124721999757e-44
"ENSG00000144713",-1.35476175656962,8.15793741683387,207.760181926786,4.23197242903909e-47,7.65563812413172e-44
"ENSG00000142089",1.66502830341964,8.04958595434714,204.480203382705,2.19889200378279e-46,3.40953911557977e-43
"ENSG00000185745",8.70346724329974,9.00461828166037,196.8298836443,1.027186432289e-44,1.3936351920081e-41
"ENSG00000135114",11.5585792707326,8.65457280900492,187.684083041963,1.01826686870575e-42,1.22802984365913e-39
"ENSG00000213881",-1.05012603028884,5.13397532043701,170.468656745155,5.84531587858107e-39,6.34450585461189e-36
"ENSG00000181163",-0.895251945999164,8.93995219661309,169.951094352282,7.58312085698222e-39,7.48247216197136e-36
"ENSG00000215086",-1.11625392199344,3.66217461070906,167.225028848298,2.98728356785122e-38,2.70199798712143e-35
"ENSG00000155918",9.48996553908462,5.16295066492229,154.078707040426,2.22601612485576e-35,1.85855223224495e-32
"ENSG00000134321",9.81231538073076,5.38677881883588,138.884557162296,4.66812042585684e-32,3.61912707873215e-29
"ENSG00000110917",-2.25706968935428,6.7459483453937,136.916047205041,1.25792558345238e-31,9.10234952186141e-29
"ENSG00000133321",6.17888014603066,6.4797877427001,135.139041744657,3.07838749946048e-31,2.0883011199465e-28
"ENSG00000105988",-1.47826901541599,3.89392958964849,131.679042850453,1.75874609367688e-30,1.1229076529864e-27
"ENSG00000166710",1.20158582896018,10.3172601669594,131.491155214977,1.93333870082967e-30,1.16580323660029e-27
"ENSG00000115053",-1.20506799859102,8.66140838850375,128.387102253492,9.23538721881971e-30,5.27583646700364e-27
"ENSG00000271503",11.3436369099015,7.49637893297131,117.741712655147,1.97502922172579e-27,1.07184835863059e-24
"ENSG00000145912",-1.50922180297503,6.11808123753456,117.277363206209,2.4960299142e-27,1.29009088993937e-24
"ENSG00000107201",4.6555214886003,7.96712622455063,116.387974755548,3.90844421108367e-27,1.92828424850464e-24
"ENSG00000172183",3.56348295097776,6.09229605048394,114.493587599324,1.01594245941893e-26,4.79436498023175e-24
"ENSG00000163584",-0.947739478034075,8.85269657905247,110.918100290397,6.16663876147128e-26,2.78886237987539e-23
"ENSG00000169245",10.4657985689476,8.80712230643751,110.002615973293,9.78615082400704e-26,4.2487552417509e-23
"ENSG00000229417",-0.93710554891116,2.78096316069994,108.209201725887,2.41854208488379e-25,1.00964829958956e-22
"ENSG00000197061",-1.98429189667214,9.06681030643608,107.423522416385,3.59514215053681e-25,1.4452471445158e-22
"ENSG00000105939",1.78792857675151,9.57974672952656,106.890287119532,4.70508990263477e-25,1.82389449297135e-22
"ENSG00000225159",-0.909791086240034,5.96872478206781,105.086352213142,1.16927512453012e-24,4.37631455229308e-22
"ENSG00000255302",-1.30101755975424,7.77803206659762,104.55526577263,1.52869488823616e-24,5.53081810563843e-22
"ENSG00000169248",9.87736918644001,5.36440727549508,102.667296446353,3.96435097601754e-24,1.38803437076434e-21
"ENSG00000249353",-0.847809487170757,8.86643131900436,102.063543168149,5.37690441564908e-24,1.82377876648297e-21
"ENSG00000089127",6.33830304610991,5.80269714934871,100.424008946599,1.23027705292027e-23,4.0464930704232e-21
"ENSG00000023445",4.31966826221077,7.05839245637863,99.2539130301197,2.22117297039667e-23,7.09076806490749e-21
"ENSG00000174780",-1.44898096587418,7.79560912780239,96.3444493275908,9.65381603760317e-23,2.99378626491842e-20
"ENSG00000221963",6.31815474423332,3.98840472707434,93.9447409116233,3.24456644133103e-22,9.78236782061307e-20
"ENSG00000188612",-0.849932000423573,7.35648300023618,92.7534335953642,5.92325709794687e-22,1.7375954740842e-19
"ENSG00000141682",3.01762691992402,7.18477676387741,91.5027104449241,1.11439435456792e-21,3.18306219065268e-19
"ENSG00000185885",4.55377707013104,4.46716436740626,89.1297942053455,3.69740276966746e-21,1.02901563235822e-18
"ENSG00000124201",2.95578672876333,6.48376962587609,87.9187474533387,6.81992054613763e-21,1.85058544019445e-18
"ENSG00000185088",0.809882942793866,8.67762563379694,86.2174629671443,1.61197896056263e-20,4.26741942388945e-18
"ENSG00000165949",6.61624703578446,3.98728587356033,82.226168770681,1.21372235259778e-19,3.1366053369277e-17
"ENSG00000128335",2.78219921763199,6.32916952325604,81.5050410562854,1.74815094010389e-19,4.41265821020643e-17
"ENSG00000104979",-0.990902491138795,6.54091698296648,78.8998096304968,6.53410522445167e-19,1.61184495695905e-16
"ENSG00000125347",5.55994904370918,3.68199476556859,77.8346649393488,1.120365887874e-18,2.70232252155208e-16
"ENSG00000116586",-1.47346390211827,5.51573568667855,77.601901075238,1.26048739487057e-18,2.97420221389677e-16
"ENSG00000086061",0.868787772473217,9.5840766605334,75.9123194837691,2.96544173002244e-18,6.84827756120501e-16
"ENSG00000092841",0.584931640806542,9.58636182800207,75.811209443733,3.12124175486535e-18,7.05790791818927e-16
"ENSG00000100906",1.96353628519275,6.36163347494375,74.43080973484,6.28012004889983e-18,1.39111067368896e-15
"ENSG00000141424",-1.42895266936335,7.64822315312431,72.9113857541367,1.35603621769549e-17,2.94368342137337e-15
"ENSG00000092010",0.871987367371331,8.74135636668593,71.1238908562235,3.35483022617228e-17,7.13986809311253e-15
"ENSG00000105699",2.19287914812656,2.83481804273264,71.0310593192279,3.51645283284846e-17,7.33991904764176e-15
"ENSG00000213977",1.87978783654901,4.03822784569819,70.571556010143,4.43870940007965e-17,9.09014185442727e-15
"ENSG00000108298",-0.520342954627218,9.48112862541103,69.511077456916,7.59865509792323e-17,1.52732967468257e-14
"ENSG00000148943",-1.63408711634762,7.79814003630515,68.5994237503127,1.20639355774492e-16,2.3807628501388e-14
"ENSG00000137965",4.43674449677374,6.75429744190178,68.2098607010903,1.46988865260214e-16,2.84895918488279e-14
"ENSG00000080824",0.563163806109583,11.3451972159745,67.4469863117578,2.1642907159253e-16,4.1212651632725e-14
"ENSG00000223722",1.36878132290525,3.16454382617278,66.9404085058833,2.79839626095731e-16,5.23686086490184e-14
"ENSG00000165732",-0.997199697947464,8.61825291186837,64.3023207422567,1.06719961731202e-15,1.96328553327198e-13
"ENSG00000182393",8.90246462028243,5.01599963500661,64.2139470287897,1.11615822851445e-15,2.01913023538263e-13
"ENSG00000116649",-1.84864159890834,4.83953245849492,63.6892185778672,1.45679693144222e-15,2.59214326129079e-13
"ENSG00000111912",2.07646128206346,7.14004297808374,62.8948005014776,2.18047082771573e-15,3.81723070387524e-13
"ENSG00000176046",1.0784561135304,7.83773036854901,62.7577077554148,2.33764964144966e-15,4.02743638226899e-13
"ENSG00000067113",-1.69635735410895,7.53374364891752,61.0938452836922,5.44179957364556e-15,9.22895196442952e-13
"ENSG00000013306",-1.6190147022856,5.7666826677454,61.0246960295902,5.63633198004751e-15,9.41180727868242e-13
"ENSG00000261150",1.15833716318958,6.62256613262144,60.2298140778078,8.44040026883044e-15,1.38806218966493e-12
"ENSG00000224411",0.581145807465517,7.67853911721972,59.3970520108073,1.28861978484417e-14,2.08756405144756e-12
"ENSG00000180817",0.832998994163495,9.02539823842393,59.1547032377779,1.45750571600838e-14,2.32643632964044e-12
"ENSG00000124145",2.34820736945067,5.87527758256882,58.9387121693601,1.62660302942685e-14,2.55871728715927e-12
"ENSG00000170315",0.482296359475207,10.3387808618728,58.8641913209977,1.68938907334318e-14,2.6195184288667e-12
"ENSG00000079332",0.952952692138426,10.9167647291721,58.5898330060878,1.9421750282617e-14,2.96906588123274e-12
"ENSG00000160014",1.23517578292138,5.35493238648004,57.9731106843346,2.65725305013092e-14,4.00580897307237e-12
"ENSG00000116747",-1.41185579227437,8.51730250843416,57.8984739443231,2.76001158236248e-14,4.10372133081676e-12
"ENSG00000003436",-1.02924157608237,9.68413650376237,57.7061734078403,3.04346129591668e-14,4.46401741971347e-12
"ENSG00000234741",-0.903012334733503,9.3369461836553,57.4182854834395,3.52316562758932e-14,5.09872529624726e-12
"ENSG00000205413",4.91028328313702,4.96109143966198,57.3169488394985,3.70944789188249e-14,5.29767729190691e-12
"ENSG00000151014",2.43853153415696,4.77838094586985,55.8769290586275,7.71526607369874e-14,1.08755192160943e-11
"ENSG00000126432",0.85218892900022,7.26338122739926,55.6133036411849,8.82245481206625e-14,1.22767851961753e-11
"ENSG00000260260",1.19196604911355,4.71175893770622,54.890383259773,1.27443067310017e-13,1.75097095263661e-11
"ENSG00000113649",-1.2292762990077,7.34328780148774,54.7623668961847,1.3602058496595e-13,1.84545928652553e-11
"ENSG00000044115",-1.21840868192743,7.22210193917566,54.3230344897922,1.70096200542725e-13,2.27685525667345e-11
"ENSG00000115267",3.86671369828972,5.59021089267347,54.301022625558,1.72012282151486e-13,2.27685525667345e-11
"ENSG00000161011",1.20191346520293,6.20138384008046,54.2473554618284,1.7677489363986e-13,2.31170445249041e-11
"ENSG00000174886",0.647016606580889,5.86643005609458,54.191142025701,1.81905019462573e-13,2.35047271576996e-11
"ENSG00000235084",0.605366390616157,3.51385717008172,54.0760929440723,1.92873744988201e-13,2.46288426835522e-11
"ENSG00000170296",0.622406171720432,7.56721431160258,53.9628644677028,2.04314902930601e-13,2.57864413535901e-11
"ENSG00000153561",-1.65892746940995,7.2982873946196,53.6163531865329,2.43722223029086e-13,3.04064483765253e-11
"ENSG00000242670",-0.713273414469524,3.74615009678398,53.1996927342687,3.0130592386373e-13,3.71633465638287e-11
"ENSG00000104388",-1.25533135083796,6.64538540660858,52.8481484822146,3.60358206961203e-13,4.39475053747966e-11
"ENSG00000173674",-1.05077474112482,6.665543459815,52.4994191988235,4.30375592286925e-13,5.19032964298032e-11
"ENSG00000103197",-1.54838290777179,5.84488913778049,52.3083271991051,4.7435871541506e-13,5.65790054628028e-11
"ENSG00000189143",1.29489312984447,5.46391090939497,52.1069405736635,5.25588286264276e-13,6.20079919468744e-11
